Time	X	Y
139.8	5.14286	33.3243
139.9	5.14286	33.3243
140	5.14286	33.3243
140.1	5.14286	33.3243
140.2	5.14286	33.3243
140.3	5.14286	33.3243
140.4	5.14286	33.3243
140.5	5.14286	33.3243
140.6	5.14286	33.3243
140.7	5.22321	33.3243
140.8	5.22321	33.3243
140.9	5.22321	33.3243
141	5.14286	33.3243
141.1	5.14286	33.3243
141.2	5.22321	33.3243
141.3	5.22321	33.3243
141.4	5.14286	33.3243
141.5	5.14286	33.3243
141.6	5.14286	33.3243
141.7	5.0625	33.3243
141.8	5.14286	33.3243
141.9	5.0625	33.3243
142	4.98214	33.3243
142.1	4.98214	33.3243
142.2	4.98214	33.3243
142.3	4.98214	33.3243
142.4	4.98214	33.3243
142.5	5.0625	33.3243
142.6	4.98214	33.3243
142.7	4.98214	33.3243
142.8	4.98214	33.4054
142.9	4.90179	33.4054
143	5.0625	33.4054
143.1	5.0625	33.4054
143.2	5.0625	33.4054
143.3	5.14286	33.3243
143.4	5.14286	33.4054
143.5	5.14286	33.4054
143.6	4.98214	33.4054
143.7	4.98214	33.4054
143.8	4.5	33.4865
143.9	4.5	33.4865
144	4.09821	33.4865
144.1	3.9375	33.4054
144.2	3.85714	33.2432
144.3	3.69643	33.2432
144.4	3.69643	33.2432
144.5	3.61607	33.2432
144.6	3.61607	33.2432
144.7	3.69643	33.2432
144.8	3.69643	33.2432
144.9	3.69643	33.2432
145	3.61607	33.1622
145.1	3.61607	33.1622
145.2	3.29464	32.8378
145.3	3.21429	32.6757
145.4	3.05357	32.4324
145.5	2.73214	31.8649
145.6	2.73214	31.8649
145.7	2.33036	31.2162
145.8	2.00893	30.8919
145.9	1.76786	30
146	1.76786	29.7568
146.1	1.76786	29.7568
146.2	1.92857	29.5135
146.3	1.92857	29.4324
146.4	1.84821	29.1892
146.5	1.84821	28.7838
146.6	1.84821	28.7838
146.7	1.76786	27.973
146.8	1.6875	27.4865
146.9	1.52679	26.9189
147	1.36607	26.6757
147.1	1.36607	26.1081
147.2	1.52679	25.9459
147.3	1.52679	25.9459
147.4	1.52679	25.8649
147.5	1.52679	25.8649
147.6	1.44643	25.1351
147.7	1.44643	24.6486
147.8	1.52679	23.8378
147.9	1.44643	23.8378
148	1.44643	23.7568
148.1	1.44643	23.8378
148.2	1.60714	23.8378
148.3	1.6875	24.0811
148.4	1.6875	24.2432
148.5	1.6875	24.4054
148.6	1.6875	24.4054
148.7	1.6875	24.4054
148.8	1.6875	24.3243
148.9	1.6875	24.3243
149	1.52679	24.4865
149.1	1.52679	24.4865
149.2	1.36607	23.7568
149.3	1.52679	23.5135
149.4	2.00893	23.2703
149.5	2.25	22.0541
149.6	2.25	22.0541
149.7	2.73214	20.5135
149.8	2.89286	19.7027
149.9	3.05357	18.3243
150	3.13393	18.0811
150.1	3.29464	17.8378
150.2	3.29464	17.6757
150.3	3.29464	17.6757
150.4	3.29464	17.5135
150.5	3.29464	17.5135
150.6	3.21429	17.9189
150.7	3.21429	17.8378
150.8	3.21429	17.2703
150.9	3.21429	17.027
151	3.45536	17.8378
151.1	3.45536	17.8378
151.2	3.53571	18.1622
151.3	3.77679	18.7297
151.4	3.77679	18.8108
151.5	4.01786	19.0541
151.6	4.58036	19.4595
151.7	4.58036	19.4595
151.8	6.1875	20.027
151.9	6.1875	20.027
152	9.48214	21.8919
152.1	9.48214	21.8919
152.2	10.125	22.3784
152.3	11.7321	23.6757
152.4	13.6607	25.6216
152.5	15.8304	27.2432
